440558,NLY3413 ,10951    ,866    ,36.782 ,23.912 ,323,117      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.783 ,23.911 ,323,119      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.783 ,23.911 ,323,119      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.784 ,23.910 ,323,123      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.784 ,23.910 ,323,123      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.785 ,23.909 ,323,124      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.785 ,23.909 ,323,124      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.786 ,23.908 ,323,126      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.786 ,23.908 ,323,127      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.786 ,23.908 ,323,131      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.786 ,23.908 ,323,131      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.787 ,23.907 ,323,134      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.787 ,23.907 ,323,134      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.788 ,23.906 ,323,141      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.788 ,23.906 ,323,142      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.789 ,23.905 ,323,147      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.790 ,23.905 ,323,150      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.790 ,23.905 ,323,151      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.790 ,23.905 ,323,152      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.790 ,23.905 ,323,157      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.791 ,23.903 ,323,160      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.791 ,23.903 ,323,161      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.792 ,23.902 ,323,165      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.792 ,23.902 ,323,167      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.793 ,23.902 ,323,169      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.793 ,23.902 ,323,170      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.794 ,23.901 ,323,172      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.900 ,323,174      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.900 ,323,175      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.899 ,323,176      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.899 ,323,177      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.899 ,323,177      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.899 ,323,178      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.899 ,323,180      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.795 ,23.899 ,323,181      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.798 ,23.897 ,323,183      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.798 ,23.897 ,323,185      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.799 ,23.896 ,323,187      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.799 ,23.896 ,323,187      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.799 ,23.896 ,323,189      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.799 ,23.896 ,323,189      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.801 ,23.894 ,323,191      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.801 ,23.894 ,323,192      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.801 ,23.894 ,323,193      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.802 ,23.893 ,323,199      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.802 ,23.893 ,323,201      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.802 ,23.893 ,323,203      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.802 ,23.893 ,323,205      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.802 ,23.893 ,323,206      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.804 ,23.891 ,323,209      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.804 ,23.891 ,323,209      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.804 ,23.891 ,323,211      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.806 ,23.889 ,323,212      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.806 ,23.889 ,323,216      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.806 ,23.889 ,323,219      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.807 ,23.888 ,323,222      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
440558,NLY3413 ,10951    ,866    ,36.808 ,23.887 ,323,225      
4062d5,        ,0        ,0      ,0.000  ,0.000  ,0  ,1        
